"name","description","uploaded_pretty","uploaded","data_id","course_id","game_style_name","game_style","theme_name","theme","difficulty_name","difficulty","tags_name_1","tags_name_2","tag1","tag2","world_record_pretty","world_record","upload_time_pretty","upload_time","num_comments","clear_condition","clear_condition_magnitude","clears","attempts","clear_rate_pretty","clear_rate","plays","versus_matches","coop_matches","likes","boos","unique_players_and_versus","weekly_likes","weekly_plays"
"12wwdee44","I have lost my keys. Someome put them into enemies.","7-2-2024 20:58:00",1707339480,49045089,"Q2R75VCGF","SM3DW",4,"Ghost house",5,"Normal",1,"Speedrun"," Multiplayer versus",3,7,"00:07.673",7673,"00:16.456",16456,0,0,0,27,116,"23.28%",23.2758620689655,33,0,0,4,0,32,NA,NA
"le monde maléfique ep 3 boss","","30-6-2019 14:20:57",1561904457,3646373,"HS5Y228KF","SM3DW",4,"Forest",9,"Normal",1,"Standard"," Short and sweet",1,6,"00:28.132",28132,"00:49.268",49268,1,0,0,67,171,"39.18%",39.1812865497076,85,8,0,7,3,92,NA,NA
"一画面スピードラン","私コースのネタなのがいつも考えられなくて誰かコツを教えてくれませんかöお願いします！","11-10-2023 11:48:11",1697024891,47187273,"T070927HG","NSMBU",3,"Snow",6,"Normal",1,"Technical"," Single player",11,14,"00:05.299",5299,"00:06.051",6051,3,2749601092,1,102,564,"18.09%",18.0851063829787,135,0,0,17,5,102,NA,NA
"バネの国","無理ゲー","6-5-2022 10:12:24",1651831944,37761381,"V5345KXJF","NSMBU",3,"Overworld",0,"Normal",1,"Puzzle solving"," Technical",2,11,"00:11.327",11327,"02:36.762",156762,0,0,0,41,109,"37.61%",37.6146788990826,54,3,0,6,4,55,NA,NA
"qwerty123","mnbvcx098","28-12-2023 16:26:26",1703780786,48297157,"28HKBL1DG","NSMBU",3,"Overworld",0,"Normal",1,"Music"," Link",9,15,"00:08.028",8028,"00:26.912",26912,0,0,0,34,106,"32.08%",32.0754716981132,48,3,0,7,3,49,NA,NA
"逆さ&60秒スピラン","昔～に作ったやつ。最後が適当なのゆるして(・-・`)　　　　　　","8-8-2024 12:39:05",1723120745,51704943,"5DPW51YSF","SMW",2,"Underground",1,"Expert",2,"Single player"," Single player",14,14,NA,NA,"00:58.300",58300,0,0,0,0,16,"0.00%",0,2,0,0,1,1,2,1,2
"できるかな？","できるかな？","6-1-2024 3:09:24",1704510564,48501466,"GJS56NRXG","SMB1",0,"Snow",6,"Expert",2,"Standard"," Boss battle",1,13,NA,NA,"02:09.016",129016,0,0,0,1,44,"2.27%",2.27272727272727,13,0,2,1,0,15,0,1
"youtube","look for all the coins. and take the flag. be carefull","7-8-2024 16:32:16",1723048336,51690183,"39LX41TFG","NSMBU",3,"Sky",8,"Expert",2,"Puzzle solving"," Speedrun",2,3,NA,NA,"02:17.020",137020,0,4116396131,62,0,4,"0.00%",0,3,0,0,0,0,3,0,3
"Jump and catch 100 coins","Pule e pegue 100 moedas para vencer","1-8-2019 4:16:58",1564633018,7373291,"PCN0V9MPF","SM3DW",4,"Sky",8,"Expert",2,"Speedrun"," Multiplayer versus",3,7,NA,NA,"00:26.267",26267,6,4116396131,100,28,553,"5.06%",5.06329113924051,99,10,0,13,9,97,0,1
"避難訓練 -極-","避難訓練の達人","25-6-2022 3:23:17",1656127397,38643317,"2PHCFY30G","NSMBU",3,"Forest",9,"Expert",2,"Technical"," Technical",11,11,NA,NA,"00:16.395",16395,0,0,0,4,63,"6.35%",6.34920634920635,32,0,0,1,2,33,0,0
"25","You'll figure it out!","24-8-2019 21:11:34",1566681094,9087848,"Q7DCV6RMF","SMB1",0,"Desert",7,"Expert",2,"Puzzle solving"," Short and sweet",2,6,NA,NA,"00:10.673",10673,1,2035052211,29,11,397,"2.77%",2.77078085642317,49,0,0,1,4,40,0,0
"楽しいスピラン40秒クソコースです","楽しいよ","13-8-2019 22:38:29",1565735909,8360696,"5932GVK2G","NSMBU",3,"Overworld",0,"Expert",2,"Standard"," Speedrun",1,3,NA,NA,"00:37.810",37810,3,0,0,16,661,"2.42%",2.42057488653555,64,0,0,7,5,54,0,0
"Epic Gamer Level Finale","Its about time you faced Larry again. But now he made it HARD! :]","11-3-2021 21:14:23",1615497263,28472367,"CS6SXSVSF","SMB3",1,"Forest",9,"Expert",2,"Boss battle"," Single player",13,14,NA,NA,"00:50.940",50940,2,0,0,4,465,"0.86%",0.860215053763441,37,0,1,2,1,33,0,0
"A Fuga","depois de Mario ser pego pelo Bowser,Mario vai tentar fugir voce pode ajuda","2-6-2022 13:43:46",1654177426,38236057,"4V3XPX3XG","NSMBU",3,"Airship",3,"Expert",2,"Boss battle"," Single player",13,14,NA,NA,"01:38.331",98331,0,0,0,2,25,"8.00%",8,9,0,1,0,1,10,0,0
"ベルトコンベアの意外な使い方","タイミングを見図る！！","28-7-2019 6:53:14",1564296794,7024640,"4TCXT1P8G","NSMBU",3,"Overworld",0,"Expert",2,"Standard"," Themed",1,8,NA,NA,"00:42.510",42510,0,0,0,2,80,"2.50%",2.5,18,1,0,1,3,17,0,0
"スピラン(?)連打力→半自動→ゴール　YouTubeのひとやって","ぽこにゃんさんや明日香さんやってみてください。","3-10-2020 23:04:55",1601766295,24285716,"YHXLQKXRG","SMW",2,"Snow",6,"Expert",2,"Auto mario"," Technical",5,11,NA,NA,"00:57.733",57733,4,0,0,14,234,"5.98%",5.98290598290598,55,1,0,5,5,50,0,0
"中級レベル　　1    !!!!!","少し難しい","9-8-2020 11:12:13",1596971533,22795975,"FGPR745GG","NSMBU",3,"Sky",8,"Expert",2,"Puzzle solving"," Puzzle solving",2,2,NA,NA,"01:20.111",80111,0,0,0,15,95,"15.79%",15.7894736842105,30,0,28,3,0,55,0,0
"Don't Use Pow's","","3-8-2019 4:46:32",1564807592,7529595,"H2W5XR84G","SMB3",1,"Ghost house",5,"Expert",2,"Themed"," Single player",8,14,NA,NA,"01:02.133",62133,0,0,0,16,281,"5.69%",5.69395017793594,81,2,43,6,2,121,0,1
"。。。","！！！","26-6-2024 7:48:01",1719388081,51033268,"8J46F26YF","NSMBU",3,"Castle",2,"Expert",2,"Technical"," Single player",11,14,NA,NA,"00:13.521",13521,0,0,0,9,196,"4.59%",4.59183673469388,37,0,0,6,2,35,0,4
"Overloaded Airship","Do not speed run this level","13-7-2019 12:01:32",1563019292,5459032,"PSN1VM4WG","NSMBU",3,"Airship",3,"Expert",2,"Standard"," Standard",1,1,NA,NA,"01:19.226",79226,1,0,0,7,327,"2.14%",2.14067278287462,49,0,1,3,0,45,0,0
